,user_id_str,re_cnt,user_twitter_handle,verified,followers_count,friends_count,favourites_count,statuses_count,created_at,tweet_created_at,create_rank,score
6,            5921162,686.0,            famitsu,    true,901080,44842,70,265141,Thu May 10 05:03:...,Wed Feb 09 23:02:...,          1,0.40485330706020645
7,           19426551,696.0,                NFL,    true,28408986,2722,3044,233105,Sat Jan 24 01:28:...,Wed Jan 26 20:03:...,          1,0.3363906717230155
34,           26257166,894.0,       SportsCenter,    true,39519520,732,1984,132561,Tue Mar 24 15:28:...,Tue Feb 15 21:38:...,          1,0.3095487666065885
10,          130447415,13416.0,            hikakin,    true,6253721,6590,12415,41512,Wed Apr 07 09:33:...,Fri Feb 04 11:34:...,          1,0.30952183138045636
13,         2597010860,1378.0,       arigameplays,    true,4938174,1625,102768,78549,Mon Jun 30 22:41:...,Sun Jan 30 06:55:...,          1,0.24556455508527425
2,         1149178590,1302.0,         MarDGamero,   false,28784,625,143710,7386,Mon Feb 04 22:05:...,Wed Feb 09 14:38:...,          1,0.21835438461123174
25,           18927441,819.0,                IGN,    true,8559482,1369,16298,159652,Tue Jan 13 03:56:...,Wed Jan 26 00:01:...,          1,0.1948220087013152
32,          252087695,1664.0,         ggame_____,   false,209650,418,5569,215278,Mon Feb 14 13:23:...,Wed Feb 02 04:48:...,          1,0.1885921565181976
20,             890891,1212.0,     BleacherReport,    true,10999859,714,399,150453,Sat Mar 10 23:52:...,Wed Feb 09 03:52:...,          1,0.18135340484159457
27,            7157132,995.0,           GameSpot,    true,4670967,707,21694,155232,Fri Jun 29 17:54:...,Tue Feb 15 21:46:...,          1,0.17911855145916925
4,         2786677338,5246.0,    denfaminicogame,    true,418198,3330,8410,44343,Tue Sep 02 21:20:...,Wed Feb 09 22:26:...,          1,0.1338308454466873
22,           19631395,951.0,     videogamedeals,    true,460153,430,3086,140350,Wed Jan 28 02:21:...,Wed Jan 26 21:15:...,          1,0.11874781041322927
30,         4920946291,1352.0,        sof1azara03,   false,279807,3403,22512,71770,Wed Feb 17 12:34:...,Wed Feb 09 15:04:...,          1,0.11268661705496608
12,           96879107,882.0,            Pokemon,    true,6884322,44,511,94101,Tue Dec 15 00:53:...,Sun Feb 13 20:00:...,          1,0.10999555299687809
9,            5162861,2438.0,    NintendoAmerica,    true,11828728,230,315,22575,Wed Apr 18 22:43:...,Fri Feb 11 20:06:...,          1,0.10603700820099118
0,1441557548427927554,1502.0,       Gamersnanet_,   false,102328,451,49597,19422,Sat Sep 25 00:18:...,Wed Feb 09 16:48:...,          1,0.09918082224645645
19,          425871040,1072.0,       FortniteGame,    true,14129285,100,2514,15217,Thu Dec 01 14:57:...,Sat Jan 29 00:00:...,          1,0.09318555482771523
15,         4644145430,667.0,           R_GameTV,   false,45714,229,30090,52518,Thu Dec 24 16:16:...,Wed Feb 09 22:27:...,          1,0.08262233065114952
17,          297169759,1182.0,      SamsungMobile,    true,12403685,425,523,8618,Thu May 12 01:59:...,Wed Feb 09 17:41:...,          1,0.07987469442728018
18,1302006102364745728,1290.0,      strokegamexxx,   false,177136,1909,1243,68819,Fri Sep 04 22:10:...,Wed Jan 26 23:31:...,          1,0.07270205048069875
21,1200355745600069635,888.0,       GiveAwayHost,   false,298322,791,7881,38563,Fri Nov 29 10:08:...,Wed Jan 26 11:54:...,          1,0.04843665367980335
26,          501558917,1655.0,           TheJenus,   false,1037374,912,7222,4670,Fri Feb 24 07:53:...,Wed Jan 26 08:45:...,          1,0.0382646563158461
23,          347831597,1058.0,     TheSandboxGame,    true,829845,1151,7370,10875,Wed Aug 03 12:46:...,Sun Feb 13 02:02:...,          1,0.033801476275108905
1,1235177017441529861,896.0,           game7400,   false,17313,2216,8261,7583,Wed Mar 04 12:15:...,Wed Feb 02 05:52:...,          1,0.030653002161890486
16,         3095001124,1839.0,         OoCPokemon,   false,749566,31,1406,6084,Wed Mar 18 17:02:...,Thu Feb 03 04:20:...,          1,0.028736500011621223
24,1156269110545793024,1140.0,       ladyincrypto,   false,352803,723,1536,13724,Tue Jul 30 18:23:...,Wed Feb 09 18:24:...,          1,0.024793074127997618
5,1470439914953011204,1935.0,       DarkLandGame,   false,43478,1,120,43,Mon Dec 13 17:06:...,Sat Feb 05 09:01:...,          1,0.020186615350750337
29,1409917553514848257,1179.0,        PokemonGems,   false,48683,383,6517,1041,Tue Jun 29 16:52:...,Tue Feb 15 23:27:...,          1,0.019713290750500833
14, 839280506931924992,882.0,       VideoArtGame,   false,100454,79,6778,5489,Wed Mar 08 01:04:...,Wed Feb 02 12:52:...,          1,0.01767911628856602
31,         1328954190,891.0,     DyingLightGame,    true,269294,110,3308,7803,Fri Apr 05 11:18:...,Sat Feb 05 17:01:...,          1,0.01572949946152064
33,1449414811436023812,924.0,      chitaglorya__,   false,212056,425,251,11048,Sat Oct 16 16:40:...,Wed Jan 26 16:16:...,          1,0.015555601861012385
8,1034478294677250048,855.0,       CryptoTownEU,   false,1235962,52,1367,4082,Tue Aug 28 16:30:...,Tue Feb 08 07:52:...,          1,0.01429171223981952
28,1282594694095134720,674.0,     Braindompuzzle,   false,76207,716,12,170,Mon Jul 13 08:37:...,Sun Feb 13 20:37:...,          1,0.0037049172020360683
11,           34429906,672.0,     SoulRebornGame,   false,72990,59,210,99,Wed Apr 22 22:48:...,Tue Feb 15 08:44:...,          1,0.0009489166617558025
3,1483999454244274178,684.0,       ashward_game,   false,54211,4,17,27,Thu Jan 20 03:07:...,Tue Feb 15 09:49:...,          1,0.0004738421123996514
